,do_level,h2o_level,blower_hz,cycle_id,do_level_scaled,h2o_level_scaled,blower_hz_scaled,cycle_id_scaled,pca 1,pca 2,kmeans_label3,kmeans_label4,sch_label
551,0.35743701,4.42013025,50.20000076,20,0.06490855902653929,0.33770744649831075,0.999169243644246,0.5588235294117647,-0.2665280934412106,-0.1552254369443162,0,5,0
552,0.69548899,4.46086884,50.18000031,20,0.12718224636481437,0.3649089034144324,0.9987538656740532,0.5588235294117647,-0.23567800354515703,-0.11345078192956069,0,5,0
553,0.73067498,4.49274015,50.20999908,20,0.13366397541709701,0.386189612094467,0.999376893065481,0.5588235294117647,-0.24088935897586503,-0.0961302861015551,0,5,0
554,0.757761,4.51672029,50.20000076,20,0.13865358186968535,0.4022013283824526,0.999169243644246,0.5588235294117647,-0.24435352936635066,-0.08286796721232627,0,5,0
555,0.82522303,4.54545355,50.22000122,20,0.1510809883396174,0.42138673794006687,0.999584621822123,0.5588235294117647,-0.24447811679699613,-0.06485875864949174,0,5,0
556,1.04205,4.58073759,50.20000076,20,0.191023410615285,0.44494615160378714,0.999169243644246,0.5588235294117647,-0.22727351330252704,-0.03366280015034045,0,5,0
557,1.29410005,4.60697269,50.20999908,20,0.23745439441634603,0.4624635213100077,0.999376893065481,0.5588235294117647,-0.2033567655249029,-0.0046325593199220225,0,5,0
558,0.00612301,4.88836288,50.20999908,20,0.00019183057087762863,0.6503498259146658,0.999376893065481,0.5588235294117647,-0.44717613231405423,0.04458749293226586,4,4,0
559,0.3689719999999999,4.90466452,50.20999908,20,0.06703345816397409,0.6612345511376576,0.999376893065481,0.5588235294117647,-0.40632541878005235,0.07623966700554949,4,4,0
560,1.00916004,4.89966679,50.20999908,20,0.18496464093847859,0.657897529967475,0.999376893065481,0.5588235294117647,-0.32441790150306665,0.11600658500470022,4,4,0
561,1.61888003,4.89853954,50.20000076,20,0.29728320218801246,0.657144856831053,0.999169243644246,0.5588235294117647,-0.24734998098911273,0.15566930245178406,4,4,0
562,2.45126009,4.89741278,35.29000092,20,0.450618720598686,0.6563925108712443,0.689511937477962,0.5588235294117647,0.03153535660741635,0.29691417509608603,1,0,1
563,3.30890989,4.89649868,26.45999908,20,0.6086092624406066,0.6557821595614164,0.5061266515920214,0.5588235294117647,0.2425999543500202,0.40445475176059015,1,0,1
564,3.9144001,4.89491367,26.44000053,20,0.7201486417512278,0.6547238366978463,0.5057113130818479,0.5588235294117647,0.3193863252984871,0.4436793256803807,1,0,1
565,4.54039001,4.89741278,26.44000053,20,0.8354643394503065,0.6563925108712443,0.5057113130818479,0.5588235294117647,0.3973259727971,0.4860819427368038,1,0,1
